FECHA,HORA,SENSOR,TEMPERATURA,UNIDAD,HUMEDAD_%,ESTADO_BATERIA,DEVICE_ID,OTROS_DATOS
21/02/2026,03:15:06,Interior,26.4,C,56,Alta,eb849849b3155b7110det4,
21/02/2026,03:30:07,Balcón,23,C,52,Media,eb007de949df61414afvyg,
21/02/2026,03:30:07,Interior,26.4,C,56,Alta,eb849849b3155b7110det4,
21/02/2026,03:45:07,Balcón,23,C,52,Media,eb007de949df61414afvyg,
21/02/2026,03:45:07,Interior,26.4,C,56,Alta,eb849849b3155b7110det4,
21/02/2026,04:00:06,Balcón,23,C,52,Media,eb007de949df61414afvyg,
21/02/2026,04:00:06,Interior,26.4,C,56,Alta,eb849849b3155b7110det4,
21/02/2026,04:15:06,Balcón,22.8,C,50,Media,eb007de949df61414afvyg,
21/02/2026,04:15:06,Interior,26.3,C,55,Media,eb849849b3155b7110det4,
21/02/2026,04:30:06,Balcón,22.8,C,50,Media,eb007de949df61414afvyg,
21/02/2026,04:30:06,Interior,26.3,C,55,Media,eb849849b3155b7110det4,
21/02/2026,04:45:07,Balcón,22.8,C,50,Media,eb007de949df61414afvyg,
21/02/2026,04:45:07,Interior,26.3,C,55,Media,eb849849b3155b7110det4,
21/02/2026,05:00:07,Balcón,22.8,C,50,Media,eb007de949df61414afvyg,
21/02/2026,05:00:07,Interior,26.3,C,55,Media,eb849849b3155b7110det4,
21/02/2026,05:15:06,Balcón,22.8,C,50,Media,eb007de949df61414afvyg,
21/02/2026,05:15:06,Interior,26.3,C,53,Alta,eb849849b3155b7110det4,
21/02/2026,05:30:06,Balcón,22.8,C,50,Media,eb007de949df61414afvyg,
21/02/2026,05:30:06,Interior,26.3,C,53,Alta,eb849849b3155b7110det4,
21/02/2026,05:45:06,Balcón,22.8,C,50,Media,eb007de949df61414afvyg,
21/02/2026,05:45:06,Interior,26.3,C,53,Alta,eb849849b3155b7110det4,
21/02/2026,06:00:07,Balcón,22.6,C,55,Media,eb007de949df61414afvyg,
21/02/2026,06:00:07,Interior,26.2,C,53,Alta,eb849849b3155b7110det4,
21/02/2026,06:15:06,Balcón,22.6,C,55,Media,eb007de949df61414afvyg,
21/02/2026,06:15:06,Interior,26.2,C,53,Alta,eb849849b3155b7110det4,
21/02/2026,06:30:06,Balcón,22.4,C,60,Media,eb007de949df61414afvyg,
21/02/2026,06:30:06,Interior,26.2,C,53,Alta,eb849849b3155b7110det4,
21/02/2026,06:45:06,Balcón,22.4,C,60,Media,eb007de949df61414afvyg,
